global_rep_id,session_id,rep_index,frame_start,frame_bottom,frame_end,view_dep_reliable,rep_mean_confidence,rep_interp_fraction,rep_jolt_frames,rep_low_conf_frames,knee_flexion_at_bottom,knee_flexion_L_at_bottom,knee_flexion_R_at_bottom,knee_flexion_range,trunk_lean_at_bottom,trunk_lean_mean,trunk_lean_max,trunk_lean_range,symmetry_knee_at_bottom,symmetry_knee_mean,hip_flexion_at_bottom,ankle_dorsiflexion_at_bottom,knee_flexion_at_start,trunk_lean_at_start,symmetry_knee_at_start,hip_flexion_at_start,ankle_dorsiflexion_at_start,knee_flexion_at_end,trunk_lean_at_end,symmetry_knee_at_end,hip_flexion_at_end,ankle_dorsiflexion_at_end,descent_frames,ascent_frames,descent_time_s,ascent_time_s,rep_duration_s,descent_ascent_ratio,knee_vel_max_descent,knee_vel_max_ascent,knee_jerk_max,knee_jerk_rms,normalized_jerk_cost,n_reps,fatigue_trunk_lean_slope,fatigue_knee_depth_slope,depth_consistency_cv,shallow_squat,excessive_lean,asymmetric_depth,ankle_restricted,rushed_descent,butt_wink,high_jerk,incomplete_depth,unstable_return,asymmetric_start,risk_score,risk_score_pct,is_high_risk,risk_label
0,32903_8,0,0,0,42,False,0.754,0.0,0,0,58.31206512451172,,58.31206512451172,104.0240592956543,18.398101686440235,16.4994969131324,19.786989250466387,9.932840783894353,,,,,161.56940460205078,10.58518974417311,,,,58.31206512451172,18.398101686440235,,,,19.0,1.0,0.6333,0.0333,0.6667,19.0,326.25091552734375,38.11180114746094,106796.38578414913,38022.10753136016,133599.48293498348,2,4.604914812918398,0.4897956848144531,0.0041822155726481,1.0,0,,,0,,0.0,0.0,,,0.011241,32.08,0,low_risk
1,32903_8,1,42,82,84,False,0.7222,0.0,0,0,58.80186080932617,,58.80186080932617,104.34975051879884,20.03143706762326,21.1044117260508,24.133985056084622,11.302740820855776,,,,,58.80186080932617,20.03143706762326,,,,158.98523712158203,14.020987810496225,,,,1.0,19.0,0.0333,0.6333,0.6667,0.0526,0.0,289.25445556640625,45676.760687828064,23811.33096997179,52069.63256957926,2,4.604914812918398,0.4897956848144531,0.0041822155726481,1.0,0,,,1,,0.0,0.0,,,0.008087,21.05,0,medium_risk
2,32907_3,0,0,7,51,False,0.7418,0.0,0,0,63.06386375427246,63.06386375427246,,117.0944709777832,13.780670158383346,14.649003757920088,19.53782779065985,9.044633206551255,,,,,176.7585220336914,10.7031260246791,,,,63.06386375427246,13.780670158383346,,,,19.0,1.0,0.6333,0.0333,0.6667,19.0,350.152587890625,144.3142318725586,96496.69969081876,50291.199931691655,184463.82850199405,3,2.4569188747187045,27.052828788757324,0.2444463444698103,1.0,0,,,0,,0.0,0.0,,,0.027948,67.42,0,low_risk
3,32907_3,1,51,75,76,False,0.4833,0.0,0,0,90.88787460327148,90.88787460327148,,25.44129180908203,20.20714112599296,18.694701829744425,27.193175030486785,13.285953888927256,,,,,,14.14368849737969,,,,109.83855056762695,26.868502923068448,,,,14.0,5.0,0.4667,0.1667,0.6667,2.8,,271.5827178955078,42086.19644165039,31251.68058877384,226339.15711809084,3,2.4569188747187045,27.052828788757324,0.2444463444698103,0.0,0,,,0,,0.0,0.0,,,0.048744,82.74,0,medium_risk
4,32907_3,2,76,148,148,False,0.8854,0.0017,0,0,117.16952133178712,117.16952133178712,,56.175567626953125,27.807333260911555,19.562841507357497,28.196627558736996,20.187203255268063,,8.63106689453125,,,117.16952133178712,27.807333260911555,,,,163.00469207763672,8.393760529399426,,,,1.0,19.0,0.0333,0.6333,0.6667,0.0526,0.0,394.9800109863281,56669.26317214966,28327.247738676426,254280.94840343663,3,2.4569188747187045,27.052828788757324,0.2444463444698103,0.0,0,,,1,,0.0,0.0,,,0.014247,40.77,0,medium_risk
5,32964_1,0,0,0,55,False,0.6898,0.0061,0,0,61.31462001800537,69.56182861328125,53.06741142272949,82.90710830688477,0.5373459689752014,1.790617900521282,3.1239302356256236,2.9090388825374607,16.494417190551758,12.807982635498046,70.6917839050293,108.35511016845705,,,,,,61.31462001800537,0.5373459689752014,16.494417190551758,70.6917839050293,108.35511016845705,19.0,1.0,0.6333,0.0333,0.6667,19.0,442.4761390686035,89.1002082824707,79813.67869377136,39058.082516029885,99873.62549499754,2,-0.1462659106408592,0.2121477127075195,0.0017270051779412,1.0,0,1.0,0.0,0,,0.0,0.0,1.0,,0.027701,67.05,0,low_risk
6,32964_1,1,55,113,113,False,0.8534,0.0,0,0,61.52676773071289,70.22349166870117,52.83004379272461,108.89983940124512,0.0098911705147231,1.6443519898804226,2.571539693499318,2.571539693499318,17.393447875976562,11.201975205365349,70.91694450378418,107.8971996307373,61.52676773071289,0.0098911705147231,17.393447875976562,70.91694450378418,107.8971996307373,165.7596664428711,2.242113215935538,,160.7405014038086,,1.0,19.0,0.0333,0.6333,0.6667,0.0526,0.0,601.7080879211426,144560.27091264722,52854.686439849655,235565.95408724496,2,-0.1462659106408592,0.2121477127075195,0.0017270051779412,1.0,0,1.0,0.0,1,,0.0,0.0,,1.0,0.030107,69.6,0,low_risk
7,32971_2,0,0,0,32,False,1.0,0.0,0,0,52.93782806396485,59.886741638183594,45.988914489746094,121.45988464355467,9.589495989466112,8.379543080807508,12.318800567262706,9.465387336561587,13.8978271484375,37.83152332305908,59.1245059967041,120.94284629821776,171.6206092834473,3.1819323563128936,16.14733123779297,160.4877815246582,111.75891876220705,52.93782806396485,9.589495989466112,13.8978271484375,59.1245059967041,120.94284629821776,19.0,1.0,0.6333,0.0333,0.6667,19.0,610.6333637237549,59.3975830078125,138631.3301968574,50457.053725335136,172575.06546228655,2,3.5338850266961224,-0.4237794876098633,0.0040187002935501,1.0,0,1.0,0.0,0,,0.0,0.0,0.0,1.0,0.014859,42.34,0,low_risk
8,32971_2,1,32,82,82,False,0.9883,0.0,0,0,52.51404857635498,58.18301963806152,46.84507751464844,122.62000465393066,9.56885625689557,11.91342810750363,19.791316626672018,16.59282419013766,11.337942123413086,47.243845558166505,60.44826030731201,121.17974472045898,52.51404857635498,9.56885625689557,11.337942123413086,60.44826030731201,121.17974472045898,171.10880661010742,3.2917210074262253,13.383216857910156,160.05493927001953,113.10275650024414,1.0,19.0,0.0333,0.6333,0.6667,0.0526,0.0,928.319091796875,306955.6323409079,104046.0439684436,719993.3541834905,2,3.5338850266961224,-0.4237794876098633,0.0040187002935501,1.0,0,1.0,0.0,1,,1.0,0.0,0.0,1.0,0.05041,83.57,0,low_risk
9,32975_6,0,0,0,27,False,0.7099,0.0,0,0,60.14182472229004,,60.14182472229004,93.40585327148438,41.17983619371165,36.22064431955184,41.75734235822094,18.776213314747004,,,,,,,,,,60.14182472229004,41.17983619371165,,,,19.0,1.0,0.6333,0.0333,0.6667,19.0,256.4147186279297,199.9233627319336,28513.938503265377,16557.733520276746,21996.401252089752,2,5.597218108388127,-8.162115097045898,0.0727970335452816,1.0,0,,,0,,0.0,0.0,,,0.015953,45.18,0,medium_risk
